month_year,longest_attack_formatted,shortest_attack_formatted
2022-09,0d 0 days 00:59:00,0d 0 days 00:59:00
2022-10,0d 0 days 08:00:00,0d 0 days 00:00:00
2022-11,0d 0 days 03:00:00,0d 0 days 00:00:00
2022-12,0d 0 days 03:00:00,0d 0 days 00:00:00
2023-01,0d 0 days 06:00:00,0d 0 days 00:00:00
2023-02,0d 0 days 14:10:00,0d 0 days 00:00:00
2023-03,0d 0 days 04:30:00,0d 0 days 00:00:00
2023-04,0d 0 days 04:50:00,0d 0 days 00:00:00
2023-05,0d 0 days 08:30:00,0d 0 days 00:00:00
2023-06,0d 0 days 06:00:00,0d 0 days 00:00:00
2023-07,0d 0 days 06:00:00,0d 0 days 01:30:00
2023-08,0d 0 days 07:00:00,0d 0 days 00:00:00
2023-09,0d 0 days 06:00:00,0d 0 days 00:00:00
2023-10,0d 0 days 09:00:00,0d 0 days 00:00:00
2023-11,0d 0 days 08:00:00,0d 0 days 00:00:00
2023-12,0d 0 days 13:00:00,0d 0 days 00:00:00
2024-01,0d 0 days 12:00:00,0d 0 days 00:00:00
2024-02,0d 0 days 00:00:00,0d 0 days 00:00:00
2024-03,0d 0 days 07:00:00,0d 0 days 00:00:00
2024-04,0d 0 days 00:00:00,0d 0 days 00:00:00
2024-05,0d 0 days 00:00:00,0d 0 days 00:00:00
2024-06,0d 0 days 00:00:00,0d 0 days 00:00:00
2024-07,0d 0 days 01:00:00,0d 0 days 00:00:00
2024-08,0d 0 days 15:00:00,0d 0 days 00:00:00
2024-09,0d 0 days 13:00:00,0d 0 days 00:10:00
2024-10,0d 0 days 17:00:00,0d 0 days 00:00:00
2024-11,0d 0 days 19:00:00,0d 0 days 00:00:00
2024-12,1d 0 days 01:00:00,0d 0 days 00:00:00
2025-01,0d 0 days 15:00:00,0d 0 days 00:00:00
2025-02,0d 0 days 16:00:00,0d 0 days 00:00:00
2025-03,0d 0 days 15:00:00,0d 0 days 00:00:00
2025-04,1d 0 days 00:50:00,0d 0 days 00:00:00
